experience_level,work_year,employment_type,company_size,job_title,company_location,salary_in_usd
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.25820692879685664
3,2023,3,1,25,70,0.3368819515002203
3,2023,3,1,25,70,0.22673691971551113
3,2023,3,1,33,70,0.43803555211883083
3,2023,3,1,33,70,0.3481212404578437
3,2023,3,1,47,70,0.3430635604269132
3,2023,3,1,47,70,0.22370231169695282
2,2023,3,1,47,70,0.3930783962883373
2,2023,3,1,47,70,0.30316408462735017
1,2023,3,1,47,70,0.43803555211883083
1,2023,3,1,47,70,0.31440337358497356
2,2023,3,2,62,70,0.1413183236375734
0,2023,3,1,13,70,0.12333546130537598
3,2023,3,1,47,25,0.09701079870883049
3,2023,3,1,47,25,0.07530098815828516
0,2023,3,1,33,70,0.17953190609349293
0,2023,3,1,33,70,0.13457475026299937
2,2023,3,1,33,70,0.26944621775448
2,2023,3,1,33,70,0.1907711950511163
3,2023,3,1,25,70,0.22448906192398646
3,2023,3,1,25,70,0.1907711950511163
3,2023,3,1,4,70,0.3926737818858628
3,2023,3,1,4,70,0.31184081570263544
3,2023,3,1,25,70,0.2919247956697268
3,2023,3,1,25,70,0.2256129908197488
0,2023,3,1,88,70,0.3368819515002203
0,2023,3,1,88,70,0.26944621775448
3,2023,3,1,69,70,0.5301977215713426
3,2023,3,1,69,70,0.39532625407986194
3,2023,3,1,47,70,0.5549241572781141
3,2023,3,1,47,70,0.3346340937086957
1,2023,3,1,31,70,0.3930783962883373
1,2023,3,1,31,70,0.3368819515002203
3,2023,3,1,47,70,0.4195244432056251
3,2023,3,1,47,70,0.29020743231700197
3,2023,3,1,47,70,0.3818391073307139
3,2023,3,1,47,70,0.31440337358497356
3,2023,3,1,47,70,0.5212062904052439
3,2023,3,1,47,70,0.31440337358497356
0,2023,3,1,88,70,0.3368819515002203
0,2023,3,1,88,70,0.26944621775448
3,2023,3,1,25,70,0.16829261713586952
3,2023,3,1,25,70,0.14581403922062275
3,2023,3,1,33,70,0.31665123137649825
3,2023,3,1,33,70,0.15705332817824613
0,2023,3,1,25,70,0.13277646402977963
0,2023,3,1,25,70,0.11456881591842974
3,2023,3,1,69,70,0.37059981837309053
3,2023,3,1,69,70,0.2806855067121034
3,2023,3,1,25,70,0.45702995045721434
3,2023,3,1,25,70,0.3718361401584291
3,2023,3,1,69,70,0.26944621775448
3,2023,3,1,69,70,0.21324977296636308
2,2023,3,1,37,70,0.2919247956697268
