experience_level,job_title,work_year,salary_in_usd
1.0,0.2717391304347826,1.0,148700
1.0,0.2717391304347826,1.0,125600
1.0,0.358695652173913,1.0,145000
1.0,0.358695652173913,1.0,115000
1.0,0.967391304347826,1.0,200000
1.0,0.967391304347826,1.0,150000
0.0,0.9565217391304348,1.0,160000
0.0,0.9565217391304348,1.0,120000
1.0,0.2717391304347826,1.0,185000
1.0,0.2717391304347826,1.0,120250
1.0,0.5108695652173912,1.0,275300
1.0,0.5108695652173912,1.0,183000
1.0,0.33695652173913043,1.0,170000
1.0,0.33695652173913043,1.0,125000
0.6666666666666666,0.33695652173913043,1.0,167500
0.6666666666666666,0.33695652173913043,1.0,106500
1.0,0.967391304347826,1.0,250000
1.0,0.967391304347826,1.0,200000
0.6666666666666666,0.75,1.0,135000
1.0,0.75,1.0,216000
1.0,0.75,1.0,184000
1.0,0.358695652173913,1.0,180000
1.0,0.358695652173913,1.0,165000
1.0,0.5108695652173912,1.0,185900
1.0,0.5108695652173912,1.0,129300
1.0,0.358695652173913,1.0,145000
1.0,0.358695652173913,1.0,120000
0.6666666666666666,0.358695652173913,1.0,143865
0.6666666666666666,0.358695652173913,1.0,115092
0.6666666666666666,0.75,1.0,130000
0.6666666666666666,0.75,1.0,90000
1.0,0.5108695652173912,1.0,173000
1.0,0.5108695652173912,1.0,132000
1.0,0.2717391304347826,1.0,208049
1.0,0.2717391304347826,1.0,128500
1.0,0.043478260869565216,1.0,179820
1.0,0.043478260869565216,1.0,143860
1.0,0.358695652173913,1.0,167500
1.0,0.358695652173913,1.0,106500
1.0,0.5108695652173912,1.0,275300
1.0,0.5108695652173912,1.0,183500
0.6666666666666666,0.358695652173913,1.0,149600
0.6666666666666666,0.358695652173913,1.0,102000
0.3333333333333333,0.5108695652173912,1.0,145000
0.3333333333333333,0.5108695652173912,1.0,100000
1.0,0.2717391304347826,1.0,190000
1.0,0.2717391304347826,1.0,95000
1.0,0.2717391304347826,1.0,153600
1.0,0.2717391304347826,1.0,106800
0.6666666666666666,0.5108695652173912,1.0,96578
0.6666666666666666,0.5108695652173912,1.0,80481
0.6666666666666666,0.2717391304347826,1.0,128000
0.6666666666666666,0.2717391304347826,1.0,85000
0.6666666666666666,0.358695652173913,1.0,151000
0.6666666666666666,0.358695652173913,1.0,140000
1.0,0.5108695652173912,1.0,275300
1.0,0.5108695652173912,1.0,183500
1.0,0.8043478260869565,1.0,220000
1.0,0.8043478260869565,1.0,170000
1.0,0.2717391304347826,1.0,135000
1.0,0.2717391304347826,1.0,105500
1.0,0.2717391304347826,1.0,100000
1.0,0.2717391304347826,1.0,80000
0.0,0.09782608695652173,1.0,7000
0.0,0.07608695652173914,1.0,42923
1.0,0.358695652173913,1.0,160000
1.0,0.358695652173913,1.0,145000
0.6666666666666666,0.2717391304347826,1.0,154000
0.6666666666666666,0.2717391304347826,1.0,143000
0.6666666666666666,0.5108695652173912,1.0,78990
0.6666666666666666,0.5108695652173912,1.0,51039
0.0,0.5108695652173912,1.0,190000
0.0,0.5108695652173912,1.0,120000
0.6666666666666666,0.5108695652173912,1.0,85066
0.6666666666666666,0.5108695652173912,1.0,51039
0.6666666666666666,0.5108695652173912,1.0,109371
0.6666666666666666,0.5108695652173912,1.0,72914
1.0,0.358695652173913,1.0,150000
1.0,0.358695652173913,1.0,111000
0.3333333333333333,0.358695652173913,1.0,265000
0.3333333333333333,0.358695652173913,1.0,235000
0.0,0.5108695652173912,1.0,121093
0.6666666666666666,0.5108695652173912,0.6666666666667425,73546
1.0,0.358695652173913,1.0,160000
1.0,0.358695652173913,1.0,130000
0.6666666666666666,0.358695652173913,1.0,75000
0.6666666666666666,0.358695652173913,1.0,60400
0.0,0.2717391304347826,1.0,85000
0.0,0.2717391304347826,1.0,75000
1.0,0.358695652173913,1.0,252000
1.0,0.358695652173913,1.0,129000
0.0,0.358695652173913,1.0,92700
0.0,0.358695652173913,1.0,61800
1.0,0.6956521739130435,0.6666666666667425,172309
0.6666666666666666,0.5108695652173912,1.0,60093
0.6666666666666666,0.2717391304347826,1.0,83500
0.6666666666666666,0.2717391304347826,1.0,52500
1.0,0.5108695652173912,1.0,201036
1.0,0.5108695652173912,1.0,134024
1.0,0.2717391304347826,1.0,165000
1.0,0.2717391304347826,1.0,140000
0.0,0.358695652173913,1.0,62000
0.0,0.358695652173913,1.0,58000
1.0,0.5108695652173912,1.0,172000
1.0,0.5108695652173912,1.0,115000
0.0,0.358695652173913,1.0,125000
0.0,0.358695652173913,1.0,90000
1.0,0.358695652173913,1.0,163800
1.0,0.358695652173913,1.0,126000
1.0,0.5108695652173912,1.0,237000
1.0,0.5108695652173912,1.0,145000
0.6666666666666666,0.358695652173913,1.0,90000
0.6666666666666666,0.358695652173913,1.0,90000
1.0,0.358695652173913,1.0,139500
1.0,0.358695652173913,1.0,109400
1.0,0.5108695652173912,1.0,258000
1.0,0.5108695652173912,1.0,190000
0.6666666666666666,0.358695652173913,1.0,145000
0.6666666666666666,0.358695652173913,1.0,120000
1.0,0.358695652173913,1.0,205600
1.0,0.358695652173913,1.0,105700
1.0,0.358695652173913,1.0,252000
1.0,0.358695652173913,1.0,129000
1.0,0.5108695652173912,1.0,239748
1.0,0.5108695652173912,1.0,159832
1.0,0.5108695652173912,1.0,186300
1.0,0.5108695652173912,1.0,102500
1.0,0.358695652173913,1.0,165000
1.0,0.358695652173913,1.0,132300
1.0,0.5108695652173912,1.0,190000
1.0,0.5108695652173912,1.0,126000
1.0,0.33695652173913043,1.0,149040
1.0,0.33695652173913043,1.0,113900
1.0,0.358695652173913,1.0,153600
1.0,0.358695652173913,1.0,106800
1.0,0.358695652173913,1.0,172600
1.0,0.358695652173913,1.0,107900
1.0,0.2717391304347826,1.0,180180
1.0,0.2717391304347826,1.0,106020
1.0,0.33695652173913043,1.0,213120
1.0,0.2717391304347826,1.0,153600
1.0,0.2717391304347826,1.0,100500
1.0,0.2717391304347826,1.0,206500
1.0,0.2717391304347826,1.0,121600
1.0,0.358695652173913,1.0,260000
1.0,0.358695652173913,1.0,225000
0.3333333333333333,0.358695652173913,1.0,194500
0.3333333333333333,0.358695652173913,1.0,115500
1.0,0.22826086956521738,1.0,170000
1.0,0.07608695652173914,1.0,90000
0.0,0.2717391304347826,1.0,95000
0.0,0.2717391304347826,1.0,70000
1.0,0.358695652173913,1.0,275000
1.0,0.358695652173913,1.0,160000
1.0,0.2717391304347826,1.0,115934
1.0,0.2717391304347826,1.0,81666
1.0,0.5108695652173912,1.0,175000
1.0,0.5108695652173912,1.0,120000
1.0,0.75,1.0,150000
1.0,0.75,1.0,120000
1.0,0.9565217391304348,1.0,200000
1.0,0.9565217391304348,1.0,175000
0.6666666666666666,0.2717391304347826,1.0,206000
0.6666666666666666,0.2717391304347826,1.0,130000
1.0,0.33695652173913043,1.0,138000
1.0,0.33695652173913043,1.0,92000
1.0,0.40217391304347827,1.0,65000
1.0,0.40217391304347827,1.0,48000
1.0,0.2717391304347826,1.0,110000
1.0,0.2717391304347826,1.0,75000
