employee_residence_US,job_title_Data Analyst,company_location_CA,employee_residence_CA,employee_residence_IN,job_title_Data Science Manager,company_location_US,experience_level,job_title_Applied Scientist,employee_residence_DE,job_title_Machine Learning Engineer,company_location_ES,job_title_Research Scientist,company_location_GB,work_year,job_title_Data Manager,salary_in_usd
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.44477912549340487
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.28742908008667745
1,0,0,0,0,0,1,0,0,0,0,0,1,0,2023,0,0.48299270794932436
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,0,0.1155488819155345
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.32564266254259694
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.25820692879685664
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.6398931817977468
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4695055612001763
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3926737818858628
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.31184081570263544
1,0,0,0,0,0,1,3,0,0,1,0,0,0,2023,0,0.625057320373684
1,0,0,0,0,0,1,3,0,0,1,0,0,0,2023,0,0.4128595448537544
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.6398931817977468
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4699551327584812
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.40634075725833285
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2791120062580361
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5549241572781141
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.27843764892057876
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.3368819515002203
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.30316408462735017
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.35216738448258816
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3067606570937897
1,0,0,0,0,0,1,3,0,0,1,0,0,0,2023,0,0.384311750901391
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.21324977296636308
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.14581403922062275
1,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,0,0.17953190609349293
1,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,0,0.13457475026299937
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3004306895528562
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.17564311211415523
1,1,0,0,0,0,1,0,0,0,0,0,0,0,2023,0,0.15705332817824613
1,1,0,0,0,0,1,0,0,0,0,0,0,0,2023,0,0.14581403922062275
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.44815091218069186
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.30069144105667306
